timestamp,usage
2018-02-06,9765
2018-02-07,9484
2018-02-08,9183
2018-02-09,8126
2018-02-10,8129
2018-02-11,8177
2018-02-12,7252
2018-02-13,9472
2018-02-14,9174
2018-02-15,8958
2018-02-16,8204
2018-02-17,7419
2018-02-18,9287
2018-02-19,6633
2018-02-20,6982
2018-02-21,10193
2018-02-22,9837
2018-02-23,8201
2018-02-24,8177
2018-02-25,8895
2018-02-26,7145
2018-02-27,10225
2018-02-28,9895
2018-03-01,9904
2018-03-02,8483
2018-03-03,7495
2018-03-04,8426
2018-03-05,7065
2018-03-06,9979
2018-03-07,9744
2018-03-08,9510
2018-03-09,7440
2018-03-10,7798
2018-03-11,8890
2018-03-12,7053
2018-03-13,10257
2018-03-14,6585
2018-03-15,9085
2018-03-16,8209
2018-03-17,8625
2018-03-18,8102
2018-03-19,7005
2018-03-20,10017
2018-03-21,9287
2018-03-22,9822
2018-03-23,7972
2018-03-24,8872
2018-03-25,8069
2018-03-26,7052
2018-03-27,9807
2018-03-28,9381
2018-03-29,9424
2018-03-30,7810
2018-03-31,8636
2018-04-01,7230
2018-04-02,5448
2018-04-03,9960
2018-04-04,9515
2018-04-05,9598
2018-04-06,8297
2018-04-07,8350
2018-04-08,8470
2018-04-09,7188
2018-04-10,9859
2018-04-11,9258
2018-04-12,9419
2018-04-13,7775
2018-04-14,7267
2018-04-15,9319
2018-04-16,6242
2018-04-17,6572
2018-04-18,9902
2018-04-19,9661
2018-04-20,7860
2018-04-21,8412
2018-04-22,7653
2018-04-23,6547
2018-04-24,9725
2018-04-25,9288
2018-04-26,9330
2018-04-27,8012
2018-04-28,8537
2018-04-29,7956
2018-04-30,6892
2018-05-01,9800
2018-05-02,9197
2018-05-03,8769
2018-05-04,7472
2018-05-05,7204
2018-05-06,7812
2018-05-07,6832
2018-05-08,9622
2018-05-09,8894
2018-05-10,8560
2018-05-11,7819
2018-05-12,8120
2018-05-13,7489
2018-05-14,6118
2018-05-15,9552
2018-05-16,8689
2018-05-17,9347
2018-05-18,7999
2018-05-19,8264
2018-05-20,7306
2018-05-21,6540
2018-05-22,9676
2018-05-23,9338
2018-05-24,8933
2018-05-25,7818
2018-05-26,7267
2018-05-27,8348
2018-05-28,5804
2018-05-29,6684
2018-05-30,9825
2018-05-31,9741
2018-06-01,8200
2018-06-02,8626
2018-06-03,7921
2018-06-04,6857
2018-06-05,9826
2018-06-06,9558
2018-06-07,9443
2018-06-08,8255
2018-06-09,8243
2018-06-10,7485
2018-06-11,6716
2018-06-12,9973
2018-06-13,9844
2018-06-14,9530
2018-06-15,8135
2018-06-16,7719
2018-06-17,7905
2018-06-18,6519
2018-06-19,9761
2018-06-20,9748
2018-06-21,9441
2018-06-22,8541
2018-06-23,8841
2018-06-24,8028
2018-06-25,7226
2018-06-26,10377
2018-06-27,9736
2018-06-28,9945
2018-06-29,8702
2018-06-30,9120
2018-07-01,7778
2018-07-02,5672
2018-07-03,11263
2018-07-04,9085
2018-07-05,5679
2018-07-06,8581
2018-07-07,8819
2018-07-08,7925
2018-07-09,6869
2018-07-10,10490
2018-07-11,9875
2018-07-12,9741
2018-07-13,8510
2018-07-14,8805
2018-07-15,8047
2018-07-16,7217
2018-07-17,10419
2018-07-18,9378
2018-07-19,9691
2018-07-20,8445
2018-07-21,9023
2018-07-22,7955
2018-07-23,6607
2018-07-24,10984
2018-07-25,9984
2018-07-26,9591
2018-07-27,8671
2018-07-28,9054
2018-07-29,8319
2018-07-30,5917
2018-07-31,10566
2018-08-01,10103
2018-08-02,9803
2018-08-03,8411
2018-08-04,9201
2018-08-05,8029
2018-08-06,7295
2018-08-07,10239
2018-08-08,9744
2018-08-09,9677
2018-08-10,8396
2018-08-11,8962
2018-08-12,8217
2018-08-13,7026
2018-08-14,10585
2018-08-15,9840
2018-08-16,9494
2018-08-17,8420
2018-08-18,9210
2018-08-19,8429
2018-08-20,7138
2018-08-21,10566
2018-08-22,9668
2018-08-23,9688
2018-08-24,8882
2018-08-25,8782
2018-08-26,7774
2018-08-27,7294
2018-08-28,10574
2018-08-29,9787
2018-08-30,9472
2018-08-31,8172
2018-09-01,7798
2018-09-02,9491
2018-09-03,5947
2018-09-04,7051
2018-09-05,10482
2018-09-06,9926
2018-09-07,8379
2018-09-08,8666
2018-09-09,8503
2018-09-10,7070
2018-09-11,10082
2018-09-12,9933
2018-09-13,9621
2018-09-14,8364
2018-09-15,8579
2018-09-16,7997
2018-09-17,6985
2018-09-18,10079
2018-09-19,9488
2018-09-20,9982
2018-09-21,8284
2018-09-22,7966
2018-09-23,8668
2018-09-24,5776
2018-09-25,10164
2018-09-26,9321
2018-09-27,9741
2018-09-28,7968
2018-09-29,8593
2018-09-30,7954
2018-10-01,6847
2018-10-02,10597
2018-10-03,9980
2018-10-04,9837
2018-10-05,8447
2018-10-06,7574
2018-10-07,8991
2018-10-08,6691
2018-10-09,7207
2018-10-10,10187
2018-10-11,9764
2018-10-12,8179
2018-10-13,8174
2018-10-14,8335
2018-10-15,6733
2018-10-16,9899
2018-10-17,9487
2018-10-18,9638
2018-10-19,8064
2018-10-20,8198
2018-10-21,7590
2018-10-22,6923
2018-10-23,9780
2018-10-24,9138
2018-10-25,9297
2018-10-26,7829
2018-10-27,7466
2018-10-28,7755
2018-10-29,7019
2018-10-30,9631
2018-10-31,9393
2018-11-01,8604
2018-11-02,8083
2018-11-03,8844
2018-11-04,7990
2018-11-05,7117
2018-11-06,9828
2018-11-07,8915
2018-11-08,9599
2018-11-09,7978
2018-11-10,7596
2018-11-11,9326
2018-11-12,6168
2018-11-13,6986
2018-11-14,9731
2018-11-15,9304
2018-11-16,7978
2018-11-17,7838
2018-11-18,8322
2018-11-19,6811
2018-11-20,8419
2018-11-21,10178
2018-11-22,8561
2018-11-23,3492
2018-11-24,7336
2018-11-25,7778
2018-11-26,7618
2018-11-27,9675
2018-11-28,9930
2018-11-29,9703
2018-11-30,8260
2018-12-01,7955
2018-12-02,8463
2018-12-03,6852
2018-12-04,9637
2018-12-05,9268
2018-12-06,8981
2018-12-07,7708
2018-12-08,8274
2018-12-09,7597
2018-12-10,6644
2018-12-11,8359
2018-12-12,9084
2018-12-13,8932
2018-12-14,7485
2018-12-15,8146
2018-12-16,7693
2018-12-17,6870
2018-12-18,9531
2018-12-19,9028
2018-12-20,8899
2018-12-21,7662
2018-12-22,7575
